County ,County Type,Rating Area,Issuer Name,Plan Type,Unemployment denominator,Unemployment numerator,Uninsured adult  numerator,Uninsured adult denominator,Uninsured children denominator,Uninsured children numerator,Primarycare physicians numerator,Primarycare physicians denominator,Median family income,Median household income,Population,Per capita income,Couple 1 child Age 21,Couple 1 child Age 30,Couple 1 child Age 40,Couple 1 child Age 50,Couple 2 children Age 21,Couple 2 children Age 30,Couple 2 children Age 40,Couple 2 children Age 50,Couple 3 or more Children Age 21,Couple 3 or more Children Age 30,Couple 3 or more Children Age 40,Couple 3 or more Children Age 50,Drug Deductible - family - standard,Drug Deductible - individual - standard,Drug Maximum Out of Pocket - Family  - standard,Drug Maximum Out of Pocket - individual - standard,Emergency Room  - standard,Fips,Generic Drugs - standard,Individual 1 child Age 21,Individual 1 child Age 30,Individual 1 child Age 40,Individual 1 child Age 50,Individual 2 children Age 21,Individual 2 children Age 30,Individual 2 children Age 40,Individual 2 children Age 50,Individual 3 or more children Age 21,Individual 3 or more children Age 30,Individual 3 or more children Age 40,Individual 3 or more children Age 50,Inpatient Facility  - standard,Inpatient Physician - standard,Medical Deductible - individual - standard,Medical Deductible -family - standard,Medical Maximum Out Of Pocket - individual - standard,Medical Maximum Out of Pocket - family - standard,Non-preferred Brand Drugs - standard,Preferred Brand Drugs - standard,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30,Premium Adult Individual Age 40,Premium Adult Individual Age 50,Premium Adult Individual Age 60,Premium Child,Premium Couple 21,Premium Couple 30,Premium Couple 40,Premium Couple 50,Premium Couple 60,Primary Care Physician  - standard,Specialist  - standard,Specialty Drugs - standard,Quality of life(Quartile),Quality of life(Rank),clinicalcare(Quartile),clinicalcare(Rank),healthbehavior(Rank),healthbehaviour(Quartile),physical(Quartile),physical(Rank),socioeconomic(Quartile),socioeconomic(Rank),Length of life(Quartile),Length of life(Rank)
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17009,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17009,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17017,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17017,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Blue Cross Blue Shield of Illinois,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17001,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,3,53,1,12,66,3,2,38,1,24,2,42
Bureau,Rural,6,Land of Lincoln Mutual Health Insurance Company,PPO,55487,2440,5450,86409,23504,556,32,104733,55217,45692,34978,24103,730.03,804.82,884.06,1165.55,905.96,980.76,1060,1341.48,1081.88,1156.69,1235.92,1517.4,0,0,Included in Medical,Included in Medical,500,17011,10,452.98,490.38,530,670.74,628.91,666.31,705.93,846.67,804.83,842.24,881.85,1022.59,750,25,750,1,3,6,75,35,277.05,290.35,314.45,354.07,494.81,751.91,175.93,554.1,628.9,708.14,989.62,1503.82,20,75,25,1,23,1,24,22,1,1,25,3,62,2,45
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17009,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17009,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17017,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17017,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,4,78,4,96,75,3,1,5,3,71,2,46
